execution,case_id,parent_case_id,operator_id,novel_coverage,added_to_corpus,result_class,signature
182,0a6ff6570d6122e5d7005a3229e4e0a51db33ea4de2e5f9d4593654b4cf6cb51,ee582bcddea597e6d33eced0452c541c563b11eb246117d58782fd34dbeef954,scalar.boundary.v1,3,true,COMPLETE,
183,89ddbff1bc717cee11edabebd4d0ea294443b62476bd796c7b5c40683a083bde,0a6ff6570d6122e5d7005a3229e4e0a51db33ea4de2e5f9d4593654b4cf6cb51,sequence.delete.v1,0,false,COMPLETE,
184,e5e6d11679996f1f45b8a36d183be05264902c47e146967b7ca36e964cef05cf,0a6ff6570d6122e5d7005a3229e4e0a51db33ea4de2e5f9d4593654b4cf6cb51,sequence.swap-adjacent.v1,0,false,COMPLETE,
185,18bb2f94dce019bb205007b053f2d6ca8cba6725dc1c8c5a89b47e579117ee87,bdb2048547dae53a83da121696f990ef1a6cffcc1bd7a9033746de6464e7798b,scalar.boundary.v1,0,false,COMPLETE,
186,7e764ecc5044030e153696a17243481a912ae8288d233770d76ba253f42804db,0a6ff6570d6122e5d7005a3229e4e0a51db33ea4de2e5f9d4593654b4cf6cb51,sequence.swap-adjacent.v1,1,true,COMPLETE,
187,23eb9c1e3446dedafb6bcca11627260eab07cce58e0b0c09c294da1aa8f186ce,7e764ecc5044030e153696a17243481a912ae8288d233770d76ba253f42804db,sequence.delete.v1,0,false,COMPLETE,
188,cf1f18fa267648ee9712f9b54430ff9934ad101cd752baca7aac0c33ec8b6e52,a6ca9337e946b7a1d07808cbc6df07b51372b079f264936bc6830cbfe0516d9f,sequence.swap-adjacent.v1,0,false,COMPLETE,
189,bed51dec15066b82e7ac09d605a3b9caa8bae4f34b949b58ffb2598bf3d3602b,b0c2592e96f2fb66fcb30bed7faeb88fcc4fbced5f382f08c9a239aa2173c8e6,sequence.delete.v1,0,false,COMPLETE,
190,cebace1110c8f41821e71ac5c843e8599b65bd1474e54238cfca6106e92346b0,32c6066eacd426cc64869007baa4b20e2415fa566e6d55171661a38dfe25daae,sequence.delete.v1,0,false,COMPLETE,
191,5a37c0db94ede81049506adfad3d1ecbc1be8911d77c01ce4fc970cea626de3d,97779590cfb0bbe42015f8631ef2a61990b45db8dff5f54da4285970deac8b21,scalar.boundary.v1,1,true,COMPLETE,
192,d08bc7526707f35e736baa81590e647f758b1eb78d443c4bfb93bab5b101a458,5a37c0db94ede81049506adfad3d1ecbc1be8911d77c01ce4fc970cea626de3d,sequence.delete.v1,0,false,COMPLETE,
193,04f872b251121f76e07303c81ed53e656d3b0e03302deb5447c8b845b4f673b0,8668bced57dc90db4b5dff6380b7a8013b20be624be03ebe9405ea083b956e54,scalar.boundary.v1,1,true,COMPLETE,
194,e36c9cd3ba4540528705ff22420c7c2b864b2669449ab9e8d3e149d7fa5838bd,04f872b251121f76e07303c81ed53e656d3b0e03302deb5447c8b845b4f673b0,sequence.insert.v1,0,false,COMPLETE,
195,2f0064a7c2dab26f06feb2a40349aa0311e280e56ac33bb2951ce29b8963ca51,2a376f93c8bc069988989a7250f994a71ca53fa394d843a2a85715a4f99ab5fa,scalar.boundary.v1,1,true,COMPLETE,
196,f9d4c1f53e5a615b5ae0b018816e151182a7700a626d65c835603c95a56ce1b6,2f0064a7c2dab26f06feb2a40349aa0311e280e56ac33bb2951ce29b8963ca51,sequence.delete.v1,1,true,COMPLETE,
197,cc6911b8fc6623b694e7a18792aa6639841d7e385deb12d0f5e1c1fe73436d3f,7e764ecc5044030e153696a17243481a912ae8288d233770d76ba253f42804db,scalar.boundary.v1,1,true,COMPLETE,
198,b02b7753db6077bcb1307e275541a87cad7d3bef2a9feb73c7d7eb0d728b7649,cc6911b8fc6623b694e7a18792aa6639841d7e385deb12d0f5e1c1fe73436d3f,sequence.insert.v1,1,true,COMPLETE,
